settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,scottish_transfer,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,nsl_flow,eleclink_flow,viking_flow,greenlink_flow
2024-05-03,16,28133,30292,25950,1493,6562,689,17193,0,15,1576,1005,991,-665,-451,-528,511,1396,995,1416,0
2024-01-02,41,32805,34401,30315,2395,6488,0,16727,0,11,1337,2000,-4,735,-450,-531,1014,1113,997,0,0
2024-05-17,17,26237,27303,23952,563,6562,3110,17193,0,4,553,1001,990,284,-431,-131,338,1399,996,1380,0
2024-02-16,31,30944,32542,27944,1246,6562,1487,16887,0,13,-437,2001,-3,912,-451,-531,907,1398,997,1362,0
2024-01-08,46,29710,33819,27083,1847,6488,0,16737,0,11,847,-2035,-4,475,-450,-90,-540,-5,-370,-4,0
2024-10-27,41,30788,31692,28549,2344,6622,0,17194,0,12,3115,1953,-1,-132,-150,-8,773,1397,-1,76,0
2024-06-07,8,18452,21769,17120,1381,6562,0,17193,0,62,2676,2006,991,-1015,-120,-528,52,1398,995,-1092,0
2024-09-05,24,28902,30366,26718,2940,6622,1484,16396,0,10,2387,1654,992,1048,-452,-502,1019,1397,997,990,0
2024-02-02,12,22612,26300,21437,4157,6562,0,16851,0,935,5418,-1133,-4,341,391,434,-353,708,-663,1075,0
2024-03-25,31,32484,33858,29504,2064,6562,2061,17084,0,3,802,1999,992,678,-331,-440,999,915,997,170,0
2024-01-16,14,34464,38687,31562,886,6488,0,16758,0,11,2233,-1209,-4,0,68,0,-944,-330,-301,-824,0
2024-01-01,4,21510,24505,19424,2901,6488,0,16726,0,1564,262,839,-4,661,-270,-84,803,-473,997,401,0
2024-09-04,38,30027,33007,27376,671,6622,512,16396,0,7,1664,2009,992,-785,-2,2,-829,1397,519,-857,0
2024-05-01,37,30662,32045,27893,855,6562,1319,17193,0,6,280,1004,991,299,-349,-528,999,1398,995,1418,0
2024-11-15,43,30439,32358,28984,2810,6622,0,17194,0,10,4209,-340,-27,922,-351,-220,-371,1397,0,1423,0
2024-07-12,18,26356,27745,23886,972,6562,2688,17193,0,13,-950,1253,991,0,-350,-526,999,1397,996,486,0
